vendor,current_price,old_price,product_name,month
Metro,6.99,7.99,"Organic Peruvian Spice, Gourmet",8
Metro,6.99,7.99,"Organic Peruvian Spice, Gourmet",8
Metro,6.99,7.99,"Organic Peruvian Spice, Gourmet",8
Metro,6.99,7.99,"Organic Peruvian Spice, Gourmet",8
Metro,6.99,7.99,"Organic Peruvian Spice, Gourmet",8
Metro,6.99,7.99,"Organic Peruvian Spice, Gourmet",8
Metro,6.99,7.99,"Organic Peruvian Spice, Gourmet",8
Metro,6.99,7.99,"Organic Peruvian Spice, Gourmet",8
Metro,3.9899999999999998,4.99,Organic Pre-Cooked Konjac Fettuccine,6
Metro,3.9899999999999998,4.99,Organic Pre-Cooked Konjac Fettuccine,6
Metro,3.9899999999999998,4.99,Organic Pre-Cooked Konjac Fettuccine,6
Metro,3.9899999999999998,4.99,Organic Pre-Cooked Konjac Fettuccine,6
Metro,3.9899999999999998,4.99,Organic Pre-Cooked Konjac Fettuccine,6
Metro,3.9899999999999998,4.99,Organic Pre-Cooked Konjac Fettuccine,6
Metro,3.9899999999999998,4.99,Organic Pre-Cooked Konjac Fettuccine,6
Metro,3.9899999999999998,4.99,Organic Pre-Cooked Konjac Fettuccine,6
Metro,3.9899999999999998,4.99,Organic Pre-Cooked Konjac Fettuccine,6
Metro,3.9899999999999998,4.99,Organic Pre-Cooked Konjac Fettuccine,6
Metro,3.9899999999999998,4.99,Organic Pre-Cooked Konjac Fettuccine,6
Metro,3.9899999999999998,4.99,Organic Pre-Cooked Konjac Angel Hair Pasta,6
Metro,3.9899999999999998,4.99,Organic Pre-Cooked Konjac Angel Hair Pasta,6
